Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,Grade  ,School
Rolando Barragan,DT,Torrance,CA,6'2'',290,,--,Southern Miss,,,,2008,Southern Miss,,,,
Bud Barksdale,S,Batesville,MS,6'0'',202,,70,Southern Miss,102,,,2008,Southern Miss,,,,
Kendrick Hardy,RB,Monticello,MS,6'0'',210,4.0,80,Southern Miss,18,,,2009,Southern Miss,70,NR,,
Gerald West,CB,Mobile,AL,5'11'',160,4.0,78,Southern Miss,24,,,2009,Southern Miss,195,NR,,
Tracy Lampley,RB,Waynesboro,MS,5'9'',170,4.0,77,Southern Miss,59,,,2009,Southern Miss,235,NR,,
Ed Preston,OG,Dickinson,TX,6'4'',287,4.0,76,Southern Miss,72,,,2009,Southern Miss,,,,
Nathaniel Worrell,OG,Pearl,MS,6'4'',260,4.0,75,Southern Miss,100,,,2009,Southern Miss,,,,
Jamie Collins,ATH,Meadville,MS,6'3'',210,4.0,75,Southern Miss,108,,,2009,Southern Miss,438,NR,,
Jonathan Guerry,OT,Columbus,MS,6'5'',295,4.0,75,Southern Miss,442,,,2009,Southern Miss,,,,
Jerrion Johnson,S,New Augusta,MS,6'2'',185,4.0,75,Southern Miss,128,,,2009,Southern Miss,,,,
Jacoby Bell,TE,D'Iberville,MS,6'3'',215,4.0,75,Southern Miss,62,,,2009,Southern Miss,,,,
Mujahid Assad,WR,Mobile,AL,6'1'',184,4.0,74,Southern Miss,139,,,2009,Southern Miss,,,,
Deron Wilson,CB,New Orleans,LA,5'10'',167,4.0,74,Southern Miss,65,,,2009,Southern Miss,,,,
Ryan Hanks,TE,Pace,FL,6'5'',235,4.0,73,Southern Miss,572,,,2009,Southern Miss,89,215,,
Will Martin,ILB,Madison,MS,6'1'',205,4.0,73,Southern Miss,73,,,2009,Southern Miss,,,,
Chris Campbell,QB,Collierville,TN,6'3'',180,4.0,72,Southern Miss,121,,,2009,Southern Miss,654,NR,,
Alex Smith,CB,Meadville,MS,5'11'',170,4.0,71,Southern Miss,94,,,2009,Southern Miss,661,NR,,
Octavious Thomas,DE,Mount Zion,GA,6'3'',230,3.0,none,Southern Miss,,,,2009,Southern Miss,,,,
Martez Thompson,CB,Pascagoula,MS,6'0'',180,3.0,none,Southern Miss,,,,2009,Southern Miss,,,,
Justin Jordan,WR,Plano,TX,5'11'',190,3.0,none,Southern Miss,,,,2009,Southern Miss,,,,
David Rue,TE,Monroe,LA,6'5'',260,3.0,none,Southern Miss,,,,2009,Southern Miss,,,,
Chaz Green,ILB,Hopewell,NC,6'4'',235,3.0,none,Southern Miss,,,,2009,Southern Miss,,,,
Trevor Newsom,OT,Starkville,MS,6'8'',290,3.0,none,Southern Miss,,,,2009,Southern Miss,,,,
Ben Schoenberger,OT,Pascagoula,MS,6'5'',295,3.0,none,Southern Miss,,,,2009,Southern Miss, None, None,,
Hendrick Leverette,OLB,Hattiesburg,MS,6'1'',225,3.0,none,Southern Miss,NR,,,2009,Southern Miss,NR,NR,,
Christopher Robinson,DT,Shreveport,LA,6'2'',270,,82.0,Southern Miss,30,,,2013,Southern Miss,148,16,,
Rod Crayton,DT,Dadeville,AL,6'1'',300,,76.0,Southern Miss,62,,,2013,Southern Miss,,,,
James Cox,WR,Tuscaloosa,AL,6'0'',185,,75.0,Southern Miss,134,,,2013,Southern Miss,,,,
C.J. Perry,OLB,Bessemer,AL,6'2'',225,,75.0,Southern Miss,,,,2013,Southern Miss,,,,
Jalen Square,CB,Mobile,AL,5'10'',180,,74.0,Southern Miss,,,,2013,Southern Miss,,,,
Evan Osbourne,OLB,Pearl,MS,6'4'',192,,73.0,Southern Miss,120,,,2013,Southern Miss,560,17,,
Devin Farrior,OT,Waynesboro,MS,6'5'',290,,72.0,Southern Miss,127,,,2013,Southern Miss,,,,
Tyre'oune Holmes,ATH,Tylertown,MS,5'10'',170,,71.0,Southern Miss,,,,2013,Southern Miss,,,,
Frederick Moore,OT,Heidelberg,MS,6'5'',320,,68.0,Southern Miss,,,,2013,Southern Miss,,,,
Jamal Lucas,OLB,Hoover,AL,5'11'',204,,68.0,Southern Miss,128,,,2013,Southern Miss,,,,
Dylan Bradley,DT,Macon,MS,6'1'',250,,68.0,Southern Miss,,,,2013,Southern Miss,,,,
Nick Mullens,QB,Hoover,AL,6'2'',175,,63.0,Southern Miss,,,,2013,Southern Miss,,,,
Kelsey Douglas,,Missouri City,TX,5'10'',176,,,Southern Miss,,,,2013,Southern Miss,,,,
Branton Lee,WR,Tallahassee,FL,5'8'',163,,,Southern Miss,,,,2013,Southern Miss,,,,
Luke Davis,,Trussville,AL,6'1'',194,,,Southern Miss,,,,2013,Southern Miss,,,,
Jamarcus Revies,WR,Petal,MS,5'10'',170,,,Southern Miss,NR,,,2013,Southern Miss,NR,NR,,
Parker Adamson,QB,Oxford,MS,6'3'',200,,,Southern Miss,NR,,,2013,Southern Miss,NR,NR,,
Jaboree Poole,DE,Brookhaven,MS,6'3'',226,,,Southern Miss,,,,2013,Southern Miss,,,,
Draper Riley,TE,Harvey,LA,6'3'',250,,,Southern Miss,NR,,,2013,Southern Miss,,,,
Jonathan Wilson,DE,Tylertown,MS,6'6'',265,,,Southern Miss,,,,2013,Southern Miss,,,,
James Davis,OG,Jackson,MS,6'3'',275,,,Southern Miss,,,,2013,Southern Miss,,,,
George Payne,RB,Mobile,AL,5'11'',190,,,Southern Miss,NR,,,2013,Southern Miss,NR,NR,,
Cameron Tom,OG,Baton Rouge,LA,6'3'',275,,,Southern Miss, NR,,,2013,Southern Miss,,,,
Trae Collins,CB,Columbus,MS,5'10'',180,,,Southern Miss,,,,2013,Southern Miss,,,,
Jerry Harris,DT,Hueytown,AL,6'2'',295,,,Southern Miss,,,,2013,Southern Miss,,,,
Tyler Sarrazin,K,Geismar,LA,6'2'',170,,,Southern Miss,,,,2013,Southern Miss,,,,
Jomez Applewhite,ATH,Bassfield,MS,6'0'',180,,,Southern Miss,NR,,,2013,Southern Miss,,,,
Marquise Ricard,WR,Baton Rouge,LA,6'3'',180,,,Southern Miss,,,,2013,Southern Miss,,,,
Evan Osborne,,Pearl,MS,6'3'',198,,,Southern Miss,,,,2013,Southern Miss,,,,
Xavier Thigpen,DE,Southaven,MS,6'5'',215,,,Southern Miss,,,,2013,Southern Miss,,,,
Aaron Reed,OT,Scottsdale,AZ,6'5'',313,,,Southern Miss,,,,2013,Southern Miss,,,,
Keivondre Watford,TE,Hayneville,AL,6'4'',230,,,Southern Miss,,,,2013,Southern Miss,,,,
D'Nerius Antoine,JW,New Iberia,LA,6'1'',220,78.0,Southern Miss,,103,610,39,2015,Southern Miss,,,,
Dakota Siniard,OG,Lester,AL,6'5'',290,74.0,Southern Miss,,60,,,2015,Southern Miss,,,,
Gabe Green,QB,IL,Springfield,6'0'',201,72.0,Southern Miss,,64,789,54,2015,Southern Miss,,,,
Reid Rials,QB,Satsuma,AL,6'1'',181,70.0,Southern Miss,,142,790,38,2015,Southern Miss,,,,
Isaiah Spencer,OLB,Hattiesburg,MS,6'0'',206,70.0,Southern Miss,,110,,,2015,Southern Miss,,,,
Ladarius Harris,DT,Pinson,AL,6'1'',255,69.0,Southern Miss,,230,829,40,2015,Southern Miss,,,,
Jonathan Nance,WR,Gulfport,MS,6'0'',180,68.0,Southern Miss,,,,,2015,Southern Miss,,,,
Paxton Schrimsher,OL,Athens,AL,6'3'',215,,Southern Miss,,,,,2015,Southern Miss,,,,
Patrick Brooks,RB,Tampa Bay,FL,5'9'',173,,Southern Miss,,NR,,,2015,Southern Miss,,,,
Jauan Collins,DT,Pascagoula,MS,5'11'',300,,Southern Miss,,,,,2015,Southern Miss,,,,
Drake Dorbeck,OT,Vicksburg,MS,6'7'',305,,Southern Miss,,,,,2015,Southern Miss,,,,
Ty Pollard,OT,Hattiesburg,MS,6'6'',315,,Southern Miss,,,,,2015,Southern Miss,,,,
D'Saveon Patrick,ATH,Forest,MS,6'3'',215,,Southern Miss,,NR,,,2015,Southern Miss,,,,
Ernest Gunn,S,Selma,AL,6'0'',180,,Southern Miss,,NR,,,2015,Southern Miss,,,,
Ricky Parks,DT,Hogansville,GA,6'4'',270,,Southern Miss,,NR,,,2015,Southern Miss,,,,
Devonta Foster,S,Coffeyville,KS,6'2'',195,,Southern Miss,,, None, None,2015,Southern Miss,,,,
Julian Allen,TE,JC,Sewell,NJ,6'3'',235.0,,Southern Miss,,,,2015,Southern Miss,,,,
Juwan Dickey,WR,JC,Marietta,GA,6'2'',200.0,,Southern Miss,NR,,,2015,Southern Miss,,,,
Jacob Fleming,OT,JC,Wesson,MS,6'5'',300.0,,Southern Miss,, None, None,2015,Southern Miss,,,,
Tyler Stutzman,OT,JC,Summit,MS,6'5'',275.0,,Southern Miss,, None, None,2015,Southern Miss,,,,
Deshadrick Truly,S,JC,Scooba,MS,6'0'',190.0,,Southern Miss,, None, None,2015,Southern Miss,,,,
Taylor Marini,TE,JC,Oviedo,FL,6'4'',250.0,,Southern Miss,,,,2015,Southern Miss,,,,
Andrew Peterson,OT,JC,Seagoville,TX,6'6'',275.0,,Southern Miss,,,,2015,Southern Miss,,,,
Derrick Dixon,DE,JC,Scranton,PA,6'4'',240.0,,Southern Miss,,,,2015,Southern Miss,,,,
Sherrod Ruff,OLB,JC,Cordele,GA,6'0'',220.0,,Southern Miss,,,,2015,Southern Miss,,,,
Nick Vogel,K,TR,Birmingham,AL,5'8'',160.0,,Southern Miss,,,,2015,Southern Miss,,,,
JaCorey Morris,OLB,Grove Hill,AL,6'2'',220,,,,30,277,19,2016,Southern Miss,,,78.0,
Keon Howard,QB-DT,Laurel,MS,6'0'',214,,,,,,,2016,Southern Miss,,,77.0,
Lorenzo Dantzler,DE,Starkville,MS,6'1'',222,,,,,,,2016,Southern Miss,,,73.0,
Racheem Booth,OLB,Bassfield,MS,6'1'',210,,,,86,,,2016,Southern Miss,,,73.0,
Dakota Birdyshaw,OT,Jasper,AL,6'7'',294,,,,107,,,2016,Southern Miss,,,72.0,
Jaden Johnson,QB-DT,Memphis,TN,6'2'',208,,80.0,,18,,,2019,Southern Miss,215,13,,Kirby High School
Khalique Washington,OT (JC),Lebanon,PA,6'5'',285,,76.0,,17,,,2019,Southern Miss,,,,Dodge City Community College
Luke Baker,TE-H,Naples,FL,6'5'',198,,76.0,,24,,,2019,Southern Miss,,,,Gulf Coast High School
Chandler Rogers,QB-DT,Mansfield,TX,6'0'',179,,74.0,,39,,,2019,Southern Miss,275,201,,Lake Ridge High School
Coker Wright,OG,Brookhaven,MS,6'3'',275,,74.0,,641,,,2019,Southern Miss,85,38,,Brookhaven High School
Louis Paul Smith,OC,D'Iberville,MS,6'3'',295,,74.0,,14,,,2019,Southern Miss,,,,D'Iberville High School
Matthew Ryals,OT,Purvis,MS,6'6'',280,,73.0,,138,,,2019,Southern Miss,,,,Purvis High School
Andrew Stein,K,Slidell,LA,5'9'',170,,73.0,,44,,,2019,Southern Miss,,,,Northshore High School
T.Q. Newsome,QB-DT,Gulfport,MS,6'0'',210,,73.0,,44,,,2019,Southern Miss,,,,Gulfport High School
Swayze Bozeman,OLB (JC),Wesson,MS,6'3'',210,,71.0,,11,,,2019,Southern Miss,,,,Copiah-Lincoln Community College
Markel McLaurin,WR,Collins,MS,5'11'',175,,71.0,,199,,,2019,Southern Miss,785,49,,Collins High School
Eriq Kitchen,DE (JC),Scooba,MS,6'2'',245,,71.0,,23,,,2019,Southern Miss, NR, NR,,East Mississippi Community College
Dee Baker,RB,Brandon,MS,5'11'',175,,70.0,,119,,,2019,Southern Miss,,,,Northwest Rankin High School
Tanner Hawthorne,OT (JC),Peoria,AZ,6'6'',295,,70.0,,26,,,2019,Southern Miss,,,,Glendale Community College
Jakyrus Williams,WR,Saraland,AL,5'10'',175,,,,,,,2019,Southern Miss,,,,Southern Miss
Kendrick Brown,WR,Meridian,MS,6'1'',195,,,,,,,2019,Southern Miss,,,,Southern Miss
Corey Wilson,RB,Vicksburg,MS,5'11'',175,,,,,,,2019,Southern Miss,,,,Southern Miss
Avery White,OLB,Hurley,MS,6'4'',195,,,,,,,2019,Southern Miss,,,,Southern Miss
Antavious Willis,ATH,Camden,MS,5'10'',180,,,,,,,2019,Southern Miss,,,,Southern Miss
James Dall,K (JC),Garden City,KS,5'11'',200,,,,,,,2019,Southern Miss,,,,Southern Miss
Demarcus Jones,WR (JC),Vicksburg,MS,6'0'',200,,,,,,,2019,Southern Miss,,,,Southern Miss
Torrance Brown,ILB (TR),Tuscaloosa,AL,6'4'',255,,,,,,,2019,Southern Miss,,,,Southern Miss
Da'Quan Bailey-Brown,WR,Dodge City,KS,5'9'',165,,78.0,,10, NR, NR,2020,Southern Miss,,,,
Antoine Robinson,WR,Canton,MS,6'1'',200,,77.0,,145,,,2020,Southern Miss,,,,
Dartravien Girod,WR,Breaux Bridge,LA,5'10'',175,,76.0,,90,,,2020,Southern Miss,,,,
Xavier Morrow,DE,Cottondale,AL,6'3'',235,,76.0,,6,,,2020,Southern Miss,,,,
Don Ragsdale,RB,Raymond,MS,5'11'',210,,75.0,,78,,,2020,Southern Miss,,,,
Dontavious Turner,ATH,Magnolia,MS,5'11'',170,,75.0,,20.0, None, None,2020,Southern Miss,,,,
Dominic Quewon,DE,Minneapolis,MN,6'3'',250,,74.0,,92,607,206,2020,Southern Miss,,,,
Michael Pleas,S,Tallahassee,FL,6'3'',210,,74.0,,145,629,54,2020,Southern Miss,,,,
Kristin Booth,DE,Oxford,AL,6'3'',225,,74.0,,246,712,34,2020,Southern Miss,,,,
Brandon Hayes,WR,Hattiesburg,MS,6'2'',190,,73.0,,,,,2020,Southern Miss,,,,
Frank Gore Jr.,RB,Miami,FL,5'8'',170,,73.0,,, None, None,2020,Southern Miss,,,,
Jason Brownlee,WR,Scooba,MS,6'2'',185,,72.0,,153,,,2020,Southern Miss,,,,
Tyrese Hopkins,OLB,Starkville,MS,6'2'',195,,72.0,,157,355,267,2020,Southern Miss,,,,
Vinson Brown,CB,Manvel,TX,6'0'',175,,72.0,,23, None, None,2020,Southern Miss,,,,
Terence Cherry,DT,Wesson,MS,6'2'',270,,72.0,,14, None, None,2020,Southern Miss,,,,
Jae'Vion Matthews,S,York,SC,6'0'',180,,71.0,,34, NR, NR,2020,Southern Miss,,,,
Toa Iafeta,OG,Milpitas,CA,6'4'',285,,71.0,,,,,2020,Southern Miss,,,,
Natrone Brooks,CB,Starkville,MS,5'11'',165,,71.0,,29, NR, NR,2020,Southern Miss,,,,
Jermaine Roberson,CB,Pahokee,FL,6'0'',170,,71.0,,37,,,2020,Southern Miss,,,,
Tykeem Doss,OT,Aliceville,AL,6'4'',345,,71.0,,33, None, None,2020,Southern Miss,,,,
Fredrick Smith,CB,Ellisville,MS,6'0'',170,,71.0,,17,,,2020,Southern Miss,,,,
Austin Todd,DT,Hattiesburg,MS,6'4'',310,,70.0,,35,,,2020,Southern Miss,,,,
Averie Habas,OLB,Rice Lake,WI,6'2'',225,,70.0,,44,NR,NR,2020,Southern Miss,,,,
Tyler Kennedy,WR,Riverside,CA,5'10'',180,,70.0,,67,,,2020,Southern Miss,,,,
Eric Scott,CB,Basehor,KS,6'2'',190,,70.0,,51, NR, NR,2020,Southern Miss,,,,
Mitchell Sellers,TE-Y,Paradise,TX,6'5'',245,,69.0,,,,,2020,Southern Miss,,,,
Will Jones,CB,Chicago,IL,6'0'',190,,68.0,,, None, None,2020,Southern Miss,,,,
Camron Harrell,CB,Moreno Valley,CA,5'10'',178,,,,,,,2020,Southern Miss,,,,
Grayson Gunter,TE-Y,Madison,MS,6'5'',230,,,Southern Miss,,,,2020,Southern Miss,,,,
Ty Keyes,QB-DT,Taylorsville,MS,6'0'',180,80.0,Southern Miss,,8,146,6,2021,Southern Miss,,,,
Chandler Pittman,ATH,Magee,MS,5'10'',160,76.0,Southern Miss,,78,427,14,2021,Southern Miss,,,,
Jay Jones,S,Demopolis,AL,6'1'',185,75.0,Southern Miss,,483,,,2021,Southern Miss,,,,
Xavier Franks,WR,Magee,MS,6'2'',180,74.0,Southern Miss,,22,,,2021,Southern Miss,,,,
Jack Tannehill,K,Oxford,MS,5'9'',170,72.0,Southern Miss,,41,824,31,2021,Southern Miss,,,,
Brendan Toles,CB,Oxford,MS,5'11'',180,72.0,Southern Miss,,172,,,2021,Southern Miss,,,,
Billy Wiles,QB-PP,Ashburn,VA,6'3'',200,71.0,Southern Miss,,, None, None,2021,Southern Miss,,,,
Richard Mays,WR,Ridgeland,MS,6'2'',185,70.0,Southern Miss,,307,,,2021,Southern Miss,,,,
Mykal McLeod,OT,Leakesville,MS,6'4'',315,70.0,Southern Miss,,193,,,2021,Southern Miss,,,,
Jeremiah Robinson,WR,Petal,MS,5'11'',165,,Southern Miss,,,,,2021,Southern Miss,,,,
Drew Lawson,OG,Madison,AL,6'2'',300,,Southern Miss,,, None, None,2021,Southern Miss,,,,
Peyton McKinion,OT (JC),Pelahatchie,MS,6'7'',310,,Southern Miss,,, None, None,2021,Southern Miss,,,,
Tee Webb,QB-PP (TR),Cartersville,GA,6'3'',170,,Southern Miss,,, None, None,2021,Southern Miss,,,,
Everitt Cunningham,DE (TR),West Point,MS,6'3'',245,,Southern Miss,,, None, None,2021,Southern Miss,,,,
Montra Edwards,DT (TR),Lexington,MS,6'3'',295,,Southern Miss,,,,,2021,Southern Miss,,,,
Lakevias Daniel,CB (TR),Louisville,MS,6'0'',180,,Southern Miss,,, None, None,2021,Southern Miss,,,,
Jay Stanley,S (TR),Brandon,MS,6'2'',215,,Southern Miss,,,,,2021,Southern Miss,,,,
Tremon Henry,ILB,Columbus,GA,6'2'',225,77.0,Southern Miss,,28,335,76,2023,Southern Miss,,,,
Ethan Crawford,QB-DT,Evergreen,AL,5'11'',210,75.0,Southern Miss,,32,581,48,2023,Southern Miss,,,,
Elijah Douglas,DT,Pensacola,FL,6'3'',280,74.0,Southern Miss,,93,,,2023,Southern Miss,,,,
Tanner Welch,OT,Brandon,MS,6'7'',320,73.0,Southern Miss,,133,697,30,2023,Southern Miss,,,,
Connor Gibbs,K,Metairie,LA,5'10'',175,73.0,Southern Miss,,29,721,60,2023,Southern Miss,,,,
Austin Gonzalez,QB-DT,Plano,TX,5'10'',175,71.0,Southern Miss,,38,,,2023,Southern Miss,,,,
Justyn Reid,TE-Y,Newnan,GA,6'5'',235,70.0,Southern Miss,,48,,,2023,Southern Miss,,,,
Ryder Burns,LS,Lake Cormorant,MS,6'1'',200,67.0,Southern Miss,,11,777,36,2023,Southern Miss,,,,
Luke Rogers,OG,Brandon,MS,6'3'',295,,Southern Miss,,,,,2023,Southern Miss,,,,
Matthew Nixon,WR,Laurel,MS,6'1'',175,,Southern Miss,,,,,2023,Southern Miss,,,,
Javien Butler,WR,Forest,MS,6'4'',195,,Southern Miss,,,,,2023,Southern Miss,,,,
Jacob Johnson,OLB,Covington,LA,6'2'',200,,Southern Miss,,NR,,,2023,Southern Miss,,,,
Jaquerrius Gray,ATH,Hattiesburg,MS,5'8'',165,,Southern Miss,,NR, NR, NR,2023,Southern Miss,,,,
Exavious Reed,TE-H,Hogansville,GA,6'3'',220,,Southern Miss,,NR,,,2023,Southern Miss,,,,
Chris Hayes,OT,Starkville,MS,6'4'',260,,Southern Miss,,NR, NR, NR,2023,Southern Miss,,,,
Miles Jones,S,Byhalia,MS,6'1'',190,,Southern Miss,,NR,,,2023,Southern Miss,,,,
Sentario Willis,CB,Hazlehurst,MS,6'1'',185,,Southern Miss,,, None, None,2023,Southern Miss,,,,
Cameron Mackey,DT,Clarksdale,MS,6'2'',285,,Southern Miss,,, None, None,2023,Southern Miss,,,,
Wildrekus Johnson,CB,Tylertown,MS,6'1'',185,,Southern Miss,,,,,2023,Southern Miss,,,,
Ques McNeal,CB (JC),Wesson,MS,5'11'',185,,Southern Miss,,, None, None,2023,Southern Miss,,,,
TyQuan Henderson,WR (JC),Canton,MS,6'2'',190,,Southern Miss,,,,,2023,Southern Miss,,,,
Ja'Len Sims,OLB (JC),Birmingham,AL,6'2'',202,,Southern Miss,,,,,2023,Southern Miss,,,,
